order_name,family_name,is_areal,avibase_id,ebird_species_code,birds_of_the_world_url,common_name,scientific_name,soi_number_loggers_approx_raw,body_mass_g,tagged_previously
Passeriformes,Cardinalidae,False,AVIBASE-F035F1F9,ocbtan1,https://birdsoftheworld.org/bow/species/ocbtan1/,Ochre-breasted Tanager,Chlorothraupis stolzmanni,,38.8,
Passeriformes,Furnariidae,False,AVIBASE-9F89BDB8,ocbthi1,https://birdsoftheworld.org/bow/species/ocbthi1/,Ochre-browed Thistletail,Asthenes coryi,,16.8,
Passeriformes,Furnariidae,False,AVIBASE-B4084EB9,occspi1,https://birdsoftheworld.org/bow/species/occspi1/,Ochre-cheeked Spinetail,Synallaxis scutata,,15.4,
Passeriformes,Monarchidae,False,AVIBASE-F25F2B9A,rucmon1,https://birdsoftheworld.org/bow/species/rucmon1/,Ochre-collared Monarch,Arses insularis,,19.3,
Passeriformes,Vireonidae,False,AVIBASE-D832707B,tacgre2,,Ochre-crowned Greenlet,Tunchiornis ochraceiceps,,11.6,
Passeriformes,Tyrannidae,False,AVIBASE-712D944F,ocftof1,https://birdsoftheworld.org/bow/species/ocftof1/,Ochre-faced Tody-Flycatcher,Poecilotriccus plumbeiceps,,5.7,
Passeriformes,Rhinocryptidae,False,AVIBASE-28287AC7,ocftap1,https://birdsoftheworld.org/bow/species/ocftap1/,Ochre-flanked Tapaculo,Eugralla paradoxa,,44.0,
Passeriformes,Grallariidae,False,AVIBASE-7BD6E7C0,ocfant1,https://birdsoftheworld.org/bow/species/ocfant1/,Ochre-fronted Antpitta,Grallaricula ochraceifrons,,23.1,
Passeriformes,Tyrannidae,False,AVIBASE-E0B5F9D3,yebfly3,https://birdsoftheworld.org/bow/species/yebfly3/,Ochre-lored Flatbill,Tolmomyias flaviventris,,12.2,
Passeriformes,Tyrannidae,False,AVIBASE-D96C90B5,ongtyr1,https://birdsoftheworld.org/bow/species/ongtyr1/,Ochre-naped Ground Tyrant,Muscisaxicola flavinucha,,36.2,
Passeriformes,Thamnophilidae,False,AVIBASE-FE350DF7,ocrant1,https://birdsoftheworld.org/bow/species/ocrant1/,Ochre-rumped Antbird,Drymophila ochropyga,,10.5,
Passeriformes,Emberizidae,False,AVIBASE-D8A797E4,ocrbun1,https://birdsoftheworld.org/bow/species/ocrbun1/,Ochre-rumped Bunting,Emberiza yessoensis,,13.5,
Passeriformes,Grallariidae,False,AVIBASE-5D82B799,ocsant1,https://birdsoftheworld.org/bow/species/ocsant1/,Ochre-striped Antpitta,Grallaria dignissima,,110.0,
Passeriformes,Furnariidae,False,AVIBASE-9E699193,btfgle1,https://birdsoftheworld.org/bow/species/btfgle1/,Ochre-throated Foliage-gleaner,Automolus ochrolaemus,,40.2,
Passeriformes,Monarchidae,False,AVIBASE-F410F3C2,ogemon1,https://birdsoftheworld.org/bow/species/ogemon1/,Ogea Monarch,Mayrornis versicolor,,29.0,
Passeriformes,Muscicapidae,False,AVIBASE-742C395C,ryurob3,https://birdsoftheworld.org/bow/species/ryurob3/,Okinawa Robin,Larvivora namiyei,,,
Passeriformes,Thraupidae,False,AVIBASE-0539220A,olehem1,https://birdsoftheworld.org/bow/species/olehem1/,Oleaginous Hemispingus,Sphenopsis frontalis,,17.0,
Passeriformes,Tyrannidae,False,AVIBASE-117278D5,oliela1,https://birdsoftheworld.org/bow/species/oliela1/,Olivaceous Elaenia,Elaenia mesoleuca,,17.6,
Passeriformes,Muscicapidae,False,AVIBASE-809D08A6,olifly1,https://birdsoftheworld.org/bow/species/olifly1/,Olivaceous Flycatcher,Fraseria olivascens,,15.4,
Passeriformes,Vireonidae,False,AVIBASE-2E5B2F9F,oligre1,https://birdsoftheworld.org/bow/species/oligre1/,Olivaceous Greenlet,Hylophilus olivaceus,,12.0,
Passeriformes,Cotingidae,False,AVIBASE-E117776E,olipih2,https://birdsoftheworld.org/bow/species/olipih2/,Olivaceous Piha,Snowornis cryptolophus,,73.6,
Passeriformes,Fringillidae,False,AVIBASE-01BC8E6F,olisis1,https://birdsoftheworld.org/bow/species/olisis1/,Olivaceous Siskin,Spinus olivaceus,,13.6,
Passeriformes,Furnariidae,False,AVIBASE-5DE4409C,oliwoo1,https://birdsoftheworld.org/bow/species/oliwoo1/,Olivaceous Woodcreeper,Sittasomus griseicapillus,,13.1,
Passeriformes,Pycnonotidae,False,AVIBASE-804922A3,olibul1,https://birdsoftheworld.org/bow/species/olibul1/,Olive Bulbul,Iole viridescens,,25.9,
Passeriformes,Malaconotidae,False,AVIBASE-89A9E67C,olibus1,https://birdsoftheworld.org/bow/species/olibus1/,Olive Bushshrike,Chlorophoneus olivaceus,,33.6,
Passeriformes,Passerellidae,False,AVIBASE-095A3BA2,olifin1,https://birdsoftheworld.org/bow/species/olifin1/,Olive Finch,Arremon castaneiceps,,36.9,
Passeriformes,Petroicidae,False,AVIBASE-FD1036BD,olifly3,https://birdsoftheworld.org/bow/species/olifly3/,Olive Flyrobin,Kempiella flavovirescens,,15.0,
Passeriformes,Meliphagidae,False,AVIBASE-03880005,olihon1,https://birdsoftheworld.org/bow/species/olihon1/,Olive Honeyeater,Lichmera argentauris,,14.0,
Passeriformes,Pipridae,False,AVIBASE-85CE32B1,oliman2,https://birdsoftheworld.org/bow/species/oliman2/,Olive Manakin,Xenopipo uniformis,,17.9,
Passeriformes,Icteridae,False,AVIBASE-F1A7591B,olioro1,https://birdsoftheworld.org/bow/species/olioro1/,Olive Oropendola,Psarocolius bifasciatus,,335.7,
Passeriformes,Passerellidae,False,AVIBASE-EF18C1EC,olispa,https://birdsoftheworld.org/bow/species/olispa/,Olive Sparrow,Arremonops rufivirgatus,,22.4,
Passeriformes,Furnariidae,False,AVIBASE-8CE249D9,olispi1,https://birdsoftheworld.org/bow/species/olispi1/,Olive Spinetail,Cranioleuca obsoleta,,13.4,
Passeriformes,Meliphagidae,False,AVIBASE-4BAD0A39,olistr1,https://birdsoftheworld.org/bow/species/olistr1/,Olive Straightbill,Timeliopsis fulvigula,,18.3,
Passeriformes,Nectariniidae,False,AVIBASE-EE79A5EF,eaosun1,https://birdsoftheworld.org/bow/species/eaosun1/,Olive Sunbird,Cyanomitra olivacea,,9.7,
Passeriformes,Turdidae,False,AVIBASE-3A7D7B07,olithr2,https://birdsoftheworld.org/bow/species/olithr2/,Olive Thrush,Turdus olivaceus,,67.3,
Passeriformes,Tyrannidae,False,AVIBASE-55DF722C,olifly2,https://birdsoftheworld.org/bow/species/olifly2/,Olive Tufted Flycatcher,Mitrephanes olivaceus,,10.0,
