order_name,family_name,avibase_id,ebird_species_code,common_name,scientific_name,birds_of_the_world_url,current_body_mass_g,body_mass_g,note
Passeriformes,Muscicapidae,AVIBASE-A9493977,bubfly2,Rufous-breasted Blue Flycatcher,Cyornis camarinensis,https://birdsoftheworld.org/bow/species/bubfly2/,,,
Passeriformes,Tyrannidae,AVIBASE-11773DB9,bnbcht2,Rufous-browed Chat-Tyrant,Ochthoeca superciliosa,https://birdsoftheworld.org/bow/species/bnbcht2/,,,
Passeriformes,Cisticolidae,AVIBASE-0BF01CE3,bktpri2,Rufous-crowned Prinia,Prinia khasiana,https://birdsoftheworld.org/bow/species/bktpri2/,,,
Passeriformes,Vireonidae,AVIBASE-93AB2A90,tacgre4,Rufous-fronted Greenlet,Tunchiornis ferrugineifrons,,,,
Passeriformes,Alaudidae,AVIBASE-EB9CE6A2,,Rufous-naped Lark,Corypha africana,,,,
Passeriformes,Alaudidae,AVIBASE-F90063D3,runlar2,Russet Lark,Corypha sharpii,https://birdsoftheworld.org/bow/species/runlar2/,,,
Passeriformes,Troglodytidae,AVIBASE-E664FCBD,runwre3,Russet-naped Wren,Campylorhynchus humilis,https://birdsoftheworld.org/bow/species/runwre3/,,,
Passeriformes,Muscicapidae,AVIBASE-19ADEF8A,rebwhe3,Rusty-breasted Wheatear,Oenanthe frenata,https://birdsoftheworld.org/bow/species/rebwhe3/,,,
Passeriformes,Ploceidae,AVIBASE-70B92675,ruvwea1,Ruvu Weaver,Ploceus holoxanthus,https://birdsoftheworld.org/bow/species/ruvwea1/,,,
Passeriformes,Nectariniidae,AVIBASE-955B9257,olbsun2,Sahul Sunbird,Cinnyris frenatus,https://birdsoftheworld.org/bow/species/olbsun2/,,,
Passeriformes,Corvidae,AVIBASE-043895D6,slbcro6,Samar Crow,Corvus samarensis,https://birdsoftheworld.org/bow/species/slbcro6/,,,
Passeriformes,Turdidae,AVIBASE-CED135E8,islthr30,Samoan Island Thrush,Turdus samoensis,https://birdsoftheworld.org/bow/species/islthr30/,,,
Passeriformes,Maluridae,AVIBASE-859AB539,sangra1,Sandhill Grasswren,Amytornis oweni,https://birdsoftheworld.org/bow/species/sangra1/,,,
Passeriformes,Campephagidae,AVIBASE-DDCCFE84,,Sangihe Cicadabird,Edolisoma salvadorii,https://birdsoftheworld.org/bow/species/sancic1/,,,
Passeriformes,Rhipiduridae,AVIBASE-01D2917F,sacfan1,Santa Cruz Fantail,Rhipidura melanolaema,https://birdsoftheworld.org/bow/species/sacfan1/,,,
Passeriformes,Pachycephalidae,AVIBASE-FF5968A9,rubwhi2,Selayar Whistler,Pachycephala teysmanni,https://birdsoftheworld.org/bow/species/rubwhi2/,,,
Passeriformes,Alaudidae,AVIBASE-D167A312,,Sentinel Lark,Corypha athi,https://birdsoftheworld.org/bow/species/senlar1/,,,
Passeriformes,Muscicapidae,AVIBASE-5F5CE177,shtaka2,Short-tailed Akalat,Sheppardia poensis,https://birdsoftheworld.org/bow/species/shtaka2/,,,
Passeriformes,Dicruridae,AVIBASE-F63C3F87,hacdro3,Short-tailed Drongo,Dicrurus striatus,https://birdsoftheworld.org/bow/species/hacdro3/,,,
Passeriformes,Sturnidae,AVIBASE-0F5360B9,aspsta7,Siamese Pied Myna,Gracupica floweri,https://birdsoftheworld.org/bow/species/aspsta7/,,,
Passeriformes,Hirundinidae,AVIBASE-535F7C54,comhom2,Siberian House Martin,Delichon lagopodum,https://birdsoftheworld.org/bow/species/comhom2/,,,
Passeriformes,Sittidae,AVIBASE-B6B17E4A,eurnut6,Siberian Nuthatch,Sitta arctica,https://birdsoftheworld.org/bow/species/eurnut6/,,,
Passeriformes,Motacillidae,AVIBASE-CEF9CA9D,sibpip1,Siberian Pipit,Anthus japonicus,https://birdsoftheworld.org/bow/species/sibpip1/,,,
Passeriformes,Corvidae,AVIBASE-5E184D07,slbcro5,Sierra Madre Crow,Corvus sierramadrensis,https://birdsoftheworld.org/bow/species/slbcro5/,,,
Passeriformes,Icteridae,AVIBASE-C19704C9,slbgra1,Slender-billed Grackle,Quiscalus palustris,https://birdsoftheworld.org/bow/species/slbgra1/,,,
Passeriformes,Petroicidae,AVIBASE-978ECDF0,pacrob3,Solomons Robin,Petroica polymorpha,https://birdsoftheworld.org/bow/species/pacrob3/,,,
Passeriformes,Rhipiduridae,AVIBASE-587DF391,sorfan1,Solomons Rufous Fantail,Rhipidura rufofronta,https://birdsoftheworld.org/bow/species/sorfan1/,,,
Passeriformes,Alaudidae,AVIBASE-74DEDA0A,,Somali Lark,Corypha somalica,https://birdsoftheworld.org/bow/species/slblar1/,,,
Passeriformes,Callaeidae,AVIBASE-E35FC5B7,kokako4,South Island Kokako,Callaeas cinereus,https://birdsoftheworld.org/bow/species/kokako4/,,,
Passeriformes,Oriolidae,AVIBASE-65FAB387,soipio1,South Island Piopio,Turnagra capensis,https://birdsoftheworld.org/bow/species/soipio1/,,,
